type,road_type,traffic_level,traffic_road_coverage,road_closure,road_category,road_subcategory,left_hand_traffic,coordinates,date,time,station,streetID
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,17:11:17,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,17:40:53,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,17:57:36,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,17:57:36,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,18:11:22,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,18:11:22,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,18:41:09,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,18:41:09,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,18:58:10,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,18:58:10,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,19:11:42,UIZ,25403
