CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
1.12,18.0,77.0,60.0,38.0,60.0,35.0,30.0,3.0,21.0,128.0,1.9
0.63,7.0,39.0,32.0,53.0,59.0,35.0,25.0,5.0,23.0,23.0,2.1
0.56,3.0,27.0,24.0,71.0,45.0,27.0,22.0,10.0,24.0,109.0,2.0
0.59,1.0,20.0,20.0,110.0,44.0,27.0,20.0,7.0,26.0,118.0,2.0
0.6,0.0,19.0,19.0,120.0,51.0,39.0,17.0,4.0,27.0,127.0,2.1
0.59,1.0,20.0,20.0,114.0,64.0,28.0,16.0,2.0,28.0,191.0,2.2
0.51,0.0,15.0,15.0,91.0,43.0,24.0,18.0,1.0,28.0,123.0,3.7
0.51,0.0,16.0,16.0,71.0,58.0,21.0,22.0,1.0,27.0,134.0,5.0
0.51,0.0,17.0,17.0,59.0,62.0,19.0,24.0,0.0,25.0,156.0,4.8
0.54,0.0,19.0,19.0,51.0,53.0,17.0,28.0,1.0,23.0,167.0,4.0
0.64,2.0,30.0,28.0,34.0,41.0,18.0,28.0,1.0,22.0,164.0,2.4
0.83,5.0,45.0,40.0,15.0,36.0,20.0,28.0,1.0,21.0,172.0,1.9
0.76,3.0,37.0,34.0,19.0,41.0,23.0,27.0,1.0,21.0,183.0,2.1
0.98,2.0,51.0,48.0,9.0,49.0,28.0,37.0,1.0,20.0,123.0,1.3
0.99,6.0,48.0,42.0,8.0,41.0,21.0,33.0,1.0,19.0,183.0,1.7
0.92,5.0,47.0,41.0,7.0,47.0,28.0,35.0,1.0,18.0,169.0,1.4
1.09,18.0,62.0,44.0,3.0,44.0,23.0,37.0,1.0,18.0,209.0,0.6
1.14,25.0,68.0,43.0,3.0,37.0,20.0,40.0,1.0,17.0,159.0,1.2
0.77,5.0,41.0,35.0,7.0,40.0,19.0,41.0,0.0,16.0,174.0,1.3
0.73,4.0,38.0,34.0,6.0,39.0,21.0,43.0,1.0,15.0,166.0,1.2
0.8,10.0,46.0,37.0,3.0,38.0,17.0,44.0,1.0,15.0,176.0,1.3
1.23,41.0,80.0,39.0,3.0,36.0,19.0,44.0,1.0,15.0,178.0,1.0
0.94,24.0,57.0,33.0,16.0,44.0,23.0,38.0,1.0,17.0,187.0,1.3
0.79,10.0,39.0,29.0,31.0,42.0,25.0,32.0,1.0,19.0,104.0,1.1
0.98,21.0,80.0,59.0,34.0,39.0,24.0,28.0,3.0,21.0,122.0,1.6
0.66,5.0,37.0,32.0,66.0,57.0,37.0,23.0,2.0,23.0,88.0,2.1
0.54,1.0,21.0,20.0,84.0,45.0,29.0,19.0,1.0,25.0,128.0,2.1
0.48,1.0,16.0,15.0,92.0,37.0,26.0,14.0,1.0,27.0,136.0,2.2
0.4,0.0,12.0,12.0,96.0,33.0,14.0,12.0,1.0,28.0,65.0,2.0
0.44,0.0,14.0,13.0,94.0,33.0,18.0,13.0,2.0,29.0,108.0,3.3
0.42,0.0,11.0,11.0,83.0,36.0,16.0,18.0,1.0,28.0,122.0,4.3
0.47,0.0,12.0,12.0,73.0,62.0,21.0,24.0,1.0,27.0,149.0,4.6
0.54,0.0,16.0,16.0,55.0,50.0,18.0,27.0,1.0,25.0,161.0,4.1
0.68,1.0,25.0,24.0,37.0,48.0,20.0,30.0,1.0,23.0,157.0,3.0
0.65,0.0,24.0,24.0,37.0,41.0,20.0,34.0,0.0,22.0,145.0,2.5
