CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
0.54,1.0,24.0,23.0,40.0,38.0,17.0,31.0,1.0,20.0,114.0,1.4
1.06,4.0,59.0,55.0,10.0,39.0,19.0,31.0,1.0,19.0,38.0,1.1
1.05,12.0,61.0,49.0,7.0,51.0,22.0,41.0,1.0,18.0,67.0,1.1
0.75,2.0,43.0,42.0,17.0,57.0,24.0,36.0,1.0,17.0,59.0,1.4
0.58,1.0,35.0,34.0,19.0,57.0,25.0,40.0,1.0,16.0,84.0,1.3
0.72,1.0,39.0,37.0,11.0,45.0,22.0,40.0,1.0,16.0,69.0,1.2
0.47,1.0,30.0,29.0,19.0,57.0,26.0,43.0,1.0,15.0,92.0,1.3
0.53,1.0,37.0,36.0,12.0,48.0,25.0,47.0,1.0,15.0,79.0,1.3
0.61,3.0,42.0,38.0,9.0,47.0,26.0,51.0,1.0,14.0,67.0,1.0
1.61,71.0,121.0,50.0,2.0,50.0,27.0,53.0,3.0,14.0,116.0,1.1
2.09,91.0,140.0,49.0,3.0,79.0,36.0,56.0,4.0,13.0,69.0,1.0
2.02,74.0,139.0,65.0,5.0,82.0,35.0,50.0,3.0,15.0,39.0,0.8
1.37,30.0,91.0,61.0,20.0,91.0,39.0,42.0,2.0,17.0,43.0,1.1
0.68,8.0,40.0,32.0,46.0,87.0,40.0,35.0,4.0,20.0,39.0,1.4
0.33,2.0,14.0,12.0,67.0,80.0,31.0,27.0,4.0,22.0,23.0,1.7
0.2,1.0,7.0,6.0,64.0,52.0,22.0,24.0,2.0,23.0,42.0,1.7
0.17,1.0,9.0,7.0,61.0,43.0,15.0,20.0,2.0,24.0,11.0,1.9
0.18,1.0,9.0,8.0,65.0,60.0,16.0,19.0,2.0,25.0,8.0,2.2
0.22,1.0,11.0,10.0,64.0,85.0,16.0,22.0,2.0,25.0,27.0,2.6
0.24,1.0,12.0,10.0,56.0,81.0,18.0,24.0,1.0,25.0,35.0,2.8
0.27,2.0,13.0,11.0,50.0,59.0,14.0,25.0,1.0,24.0,39.0,2.8
0.36,1.0,17.0,16.0,44.0,54.0,16.0,32.0,1.0,22.0,54.0,2.6
0.37,1.0,16.0,15.0,42.0,51.0,18.0,35.0,1.0,21.0,62.0,2.4
0.44,1.0,20.0,19.0,34.0,39.0,19.0,35.0,1.0,20.0,42.0,1.9
0.63,2.0,32.0,30.0,22.0,29.0,11.0,37.0,1.0,20.0,49.0,1.2
0.9,4.0,50.0,46.0,10.0,35.0,18.0,38.0,1.0,19.0,2.0,1.3
1.03,7.0,51.0,44.0,8.0,54.0,24.0,38.0,1.0,17.0,51.0,1.1
0.75,2.0,39.0,38.0,11.0,49.0,22.0,46.0,1.0,17.0,120.0,1.2
0.59,2.0,33.0,31.0,14.0,54.0,25.0,47.0,1.0,16.0,113.0,1.4
0.64,2.0,36.0,35.0,9.0,45.0,22.0,51.0,1.0,16.0,106.0,1.3
0.58,4.0,37.0,33.0,9.0,48.0,25.0,52.0,1.0,15.0,128.0,1.1
0.53,4.0,39.0,36.0,7.0,46.0,26.0,53.0,1.0,14.0,110.0,1.1
0.47,3.0,34.0,32.0,10.0,44.0,24.0,55.0,1.0,14.0,108.0,1.3
0.63,10.0,53.0,43.0,3.0,37.0,17.0,55.0,1.0,13.0,84.0,1.1
1.08,31.0,73.0,42.0,4.0,37.0,20.0,55.0,2.0,13.0,74.0,1.1
1.47,55.0,108.0,53.0,7.0,51.0,25.0,52.0,2.0,15.0,80.0,1.1
0.97,24.0,73.0,49.0,22.0,70.0,32.0,43.0,2.0,17.0,61.0,1.1
0.7,9.0,45.0,36.0,42.0,64.0,30.0,34.0,3.0,19.0,37.0,1.4
0.46,4.0,28.0,23.0,59.0,61.0,31.0,29.0,9.0,21.0,26.0,1.6
0.43,2.0,21.0,19.0,77.0,60.0,29.0,26.0,10.0,22.0,28.0,1.5
0.41,1.0,16.0,15.0,92.0,57.0,30.0,23.0,6.0,23.0,39.0,1.5
0.28,1.0,12.0,11.0,87.0,63.0,31.0,20.0,3.0,25.0,29.0,1.7
0.23,1.0,11.0,10.0,80.0,48.0,21.0,19.0,2.0,25.0,24.0,1.8
0.21,1.0,9.0,8.0,64.0,49.0,20.0,23.0,2.0,24.0,17.0,2.9
0.28,1.0,13.0,11.0,59.0,67.0,17.0,24.0,1.0,24.0,61.0,3.0
0.33,1.0,14.0,13.0,52.0,71.0,17.0,28.0,1.0,22.0,64.0,2.7
0.36,1.0,15.0,14.0,44.0,62.0,19.0,32.0,2.0,20.0,74.0,2.5
0.4,1.0,18.0,17.0,32.0,38.0,16.0,31.0,1.0,19.0,79.0,1.7
